iter	Passed	Remaining
0	5	1329
1	9	1154
2	12	1091
3	16	1063
4	20	1042
5	24	1027
6	28	1012
7	32	1002
8	35	994
9	39	985
10	43	977
11	47	971
12	51	966
13	55	960
14	59	956
15	63	954
16	67	953
17	71	949
18	74	940
19	78	930
20	81	921
21	85	914
22	88	905
23	92	898
24	95	890
25	98	883
26	102	875
27	105	868
28	109	862
29	112	855
30	115	849
31	119	843
32	122	838
33	126	832
34	129	827
35	133	822
36	136	816
37	140	811
38	143	806
39	147	802
40	150	797
41	153	791
42	157	787
43	160	781
44	164	776
45	167	771
46	170	767
47	174	762
48	177	758
49	181	753
50	184	748
51	187	743
52	191	738
53	194	734
54	197	730
55	201	727
56	204	722
57	208	718
58	211	714
59	215	710
60	218	705
61	222	701
62	225	698
63	229	694
64	232	690
65	235	686
66	239	681
67	242	678
68	246	674
69	249	670
70	252	665
71	256	662
72	259	658
73	263	655
74	266	651
75	270	647
76	273	643
77	277	639
78	280	635
79	284	632
80	287	628
81	291	624
82	294	620
83	297	617
84	301	613
85	304	609
86	308	606
87	311	602
88	315	598
89	318	594
90	322	590
91	325	586
92	328	583
93	332	579
94	335	576
95	339	572
96	342	569
97	346	565
98	349	561
99	353	557
100	356	554
101	360	550
102	363	547
103	367	543
104	370	540
105	374	536
106	377	532
107	380	528
108	384	524
109	387	521
110	390	517
111	394	514
112	397	510
113	401	506
114	404	502
115	407	499
116	411	495
117	414	491
118	417	488
119	421	484
120	424	480
121	428	477
122	431	473
123	435	470
124	438	466
125	442	463
126	445	459
127	449	456
128	452	452
129	456	449
130	459	445
131	463	442
132	466	438
133	470	435
134	473	431
135	477	427
136	480	424
137	484	420
138	487	417
139	490	413
140	494	410
141	497	406
142	501	403
143	505	399
144	508	396
145	511	392
146	515	389
147	518	385
148	522	381
149	525	378
150	528	374
151	532	371
152	535	367
153	539	364
154	542	360
155	545	356
156	549	353
157	552	349
158	555	346
159	559	342
160	562	339
161	566	335
162	569	331
163	572	328
164	576	324
165	579	321
166	583	317
167	586	314
168	589	310
169	593	307
170	596	303
171	600	300
172	603	296
173	607	293
174	610	289
175	614	286
176	617	282
177	620	279
178	624	275
179	627	271
180	630	268
181	634	264
182	637	261
183	640	257
184	644	254
185	647	250
186	651	247
187	654	243
188	657	240
189	661	236
190	664	233
191	668	229
192	671	226
193	675	222
194	679	219
195	682	215
196	686	212
197	689	208
198	692	205
199	696	201
200	699	198
201	703	194
202	706	191
203	710	187
204	713	184
205	717	181
206	720	177
207	724	174
208	728	170
209	731	167
210	735	163
211	738	160
212	742	156
213	745	153
214	748	149
215	752	146
216	756	142
217	759	139
218	763	135
219	766	132
220	769	128
221	773	125
222	777	121
223	780	118
224	783	114
225	787	111
226	790	107
227	793	104
228	797	100
229	800	97
230	804	93
231	807	90
232	811	87
233	814	83
234	818	80
235	821	76
236	824	73
237	828	69
238	831	66
239	834	62
240	838	59
241	842	55
242	845	52
243	848	48
244	852	45
245	855	41
246	859	38
247	862	34
248	866	31
249	869	27
250	873	24
251	876	20
252	879	17
253	883	13
254	887	10
255	890	6
256	893	3
257	897	0
